artist,name,album,release_date,id
Paul Robeson,Ol' Man River (from Show Boat) - 1985 Digital Remaster,Ol' Man River & Other Favourites,1985,0ARoborzrtiYaTFUge7f9H
DOMi & JD BECK,TAKE A CHANCE (feat. Anderson .Paak),TAKE A CHANCE (feat. Anderson .Paak),2022-07-06,3Fo54IlOlnwzMwGjjEqCzN
Ginger Root,Juban District,Juban District,2021-07-21,0MTxfrDnNX0cIQkWhCm58d
Parcels,Free,Day/Night,2021-11-05,6kAOOamDflxqkrAWI6wZRR
Mark Lettieri,Barreleye,Deep: The Baritone Sessions,2019-03-01,2Dc1pUBABcfMy42W6vxhC3
Cory Wong,Cosmic Sans,Motivational Music for the Syncopated Soul,2019-08-02,594a2gJwaid7KGIn9QhYJL
Theo Katzman,Break up Together,Heartbreak Hits,2017-01-06,5xRlNALFbZ7gaWGlySwfTM
Parcels,Comingback,Day/Night,2021-11-05,6W1CYXq9pGEnNNCCW62xu8
Ginger Root,City Slicker,City Slicker,2021-08-20,1dDUoKaxiCxP2Mhh4ze5el
Bill Wurtz,I'm Scared,I'm Scared,2022-02-18,01Qf0YXl3Ru2R98N16ir1X
Theo Katzman,Good to Be Alone,Heartbreak Hits,2017-01-06,2P8kBO7P0SppnEX8gVN3up
Parcels,LordHenry,Day/Night,2021-11-05,7dEFIvrudJoPhrzWSYgCJX
Athletic Progression,And1,Athletic Progression,2020-04-03,2cH4QYxI5DmFPJySqiXaxv
Ginger Root,Loneliness,Loneliness,2022-06-22,0t1qI2DYS68veTpLBGUsNM
sakanaction,『バッハの旋律を夜に聴いたせいです。』,DocumentaLy,2011-09-28,6Zmg9q5eSK3ROwDnP6Qm4j
Parcels,Famous,Day/Night,2021-11-05,3RZauEkvORMeP06npyaIYa
Cory Wong,Golden,Elevator Music for an Elevated Mood,2020-01-10,7wjmwD5nIYWVnHiR3X3PTO
Ginger Root,Loretta - 日本語 version,Loretta (日本語 version),2021-11-09,62YmOiT1RxAffnCSMqo4Kw
DOMi & JD BECK,WHATUP,WHATUP,2022-06-24,7vr9frLcyCM4m6A4KS1sex
Parcels,Reflex,Day/Night,2021-11-05,1u7fLNwWhqMpgpakKhfpXp
The Fearless Flyers,Patrol Acrobatique,The Fearless Flyers III,2022-03-04,37nNjtdPywMHpMZumunVP7
sakanaction,plateau,plateau,2021-12-03,5rKkaxFPXnlE6QDzoYKRIj
Sungazer,Macchina,Perihelion,2021-10-11,3L9nrJY59i6DWM6ZAuLF97
Parcels,Neverloved,Day/Night,2021-11-05,017Zy32lho0ex9FOxSajEx
Bo Burnham,Welcome to The Internet,INSIDE,2021-06-10,3s44Qv8x974tm0ueLexMWN
Theo Katzman,What Did You Mean (When You Said Love),Modern Johnny Sings: Songs in the Age of Vibe,2020-01-10,1U1OeyPu6frcUUrSZ14PjH
Punch Brothers,It's All Part of the Plan,All Ashore,2018-07-20,0GLMtQyC5Htv23nlkbfYXg
Parcels,Theworstthing,Day/Night,2021-11-05,0EvZksFiDpboeG4UVaIvJa
DOMi & JD BECK,SMiLE,NOT TiGHT,2022-07-29,0xlU22EuFyySBak3rlMZlm
Bo Burnham,Shit,INSIDE,2021-06-10,3FFYH9A5rLqohxQhNW4Qka
Punch Brothers,Just Look at This Mess,All Ashore,2018-07-20,3lS0DcJDzDiaqAje0LViWe
Parcels,Once,Day/Night,2021-11-05,633Oe7gtfWB8lq1Vxyiahm
Queens of the Stone Age,Song For The Deaf,Songs For The Deaf,2002,6aCZqq6JkwrfbeXU71VNk0
sakanaction,忘れられないの,834.194,2019-06-19,7a3LbQFgp7NCuNcGlTgSsN
TWRP,Feels Pretty Good,Together Through Time,2018-05-18,0r3BbXQRY4V9PbLjyI5LF7
Parcels,Thefear,Day/Night,2021-11-05,3CC8GnChqlFoM49XBDAZ0w
Punch Brothers,Jungle Bird,All Ashore,2018-07-20,1Jdv4D4oR8XxGKGFn5Wd8o
Bo Burnham,All Time Low,INSIDE,2021-06-10,4LtLbmRErvtrNrYR6gbhh7
Ginger Root,Weather,Weather,2019-06-05,2D3gvohUyOfXIVX6Mvhqae
Parcels,Daywalk,Day/Night,2021-11-05,7umYeP4UtIrOrupomdhVPL
sakanaction,Shock!,Adapt,2022-03-30,2PVprWefdSve2wSuzMWq8b
Bo Burnham,All Eyes On Me,INSIDE,2021-06-10,2Q6RiCAKOrxRYtvl9pcpjY
Ginger Root,Loretta,City Slicker,2021-08-20,06EgxOq5tfdba6Y3z6yzou
Parcels,NowIcaresomemore,Day/Night,2021-11-05,2gXYLIrLrHVViRCnbh8kCQ
Bruno Mars,Leave The Door Open,An Evening With Silk Sonic,2021-11-12,4pryE6cN2gFL1FVF5fYINl
MIKA,Grace Kelly,Life in Cartoon Motion,2007-02-05,7dzUZec5MnWMyQnk5klnKR
Cory Wong,Follow The Light,Turbo,2021-09-03,1YPV3B1Ou3rarSL9jukfQL
Parcels,Nightwalk,Day/Night,2021-11-05,50yh4CvMEX4eAxtMeYFLWz
The Fearless Flyers,Ace of Aces,The Fearless Flyers,2018-03-30,1SlkhRMOEJp97Ho0BaIOkj
Bo Burnham,Bezos I,INSIDE,2021-06-10,5aszL9hl6SBzFNsOvw8u8w
sakanaction,ナイロンの糸,834.194,2019-06-19,3Bxs8Kc7R6V4sE3gB2d5Xl
Parcels,Outside,Day/Night,2021-11-05,2uyfIMxzUIUeO8vKf7s9LD
Louis Cole,Doing the Things,Doing the Things,2019-03-19,1yBVQU0Az5LlDF5ZYehPap
Punch Brothers,All Ashore,All Ashore,2018-07-20,3rSpUHBDRFr4MiFOjyEWvP
sakanaction,モス,834.194,2019-06-19,4FdpXwtpJfRltvFuTcpNL6
Parcels,Somethinggreater,Day/Night,2021-11-05,1Uxti0PEEdieT526B8dAxZ
Louis Cole,I’m Tight,I’m Tight,2022-08-23,6kbWgnfjUrDPmuwiROaNVB
The Fearless Flyers,Kenni and the Jets,Tailwinds,2020-07-24,3BNHpCcu9BaL43SjLIi8o9
Bo Burnham,Goodbye,INSIDE,2021-06-10,2ySaltE2swk0QsimILPK05
Parcels,Inthecity (Interlude),Day/Night,2021-11-05,0JSG8Hu6aMidPm1QRqboQD
Ginger Root,Fly Too,City Slicker,2021-08-20,308JOU1XizpIzdVpja1pdr
The Wiggles,ABC,The Wiggles Nursery Rhymes,2017-02-17,4NzvBjlJ0oxQvFeKsPgRU8
Bo Burnham,Problematic,INSIDE,2021-06-10,54raQ1qeuAqfsQ3A5k7L8A
Parcels,"Redline - from Hansa Studios, Berlin",Live Vol. 1,2020-04-29,0QugsGHunz3peiUxRg51WE
Ginger Root,Holy Hell,Holy Hell,2022-07-28,213RFtIruWs7V6pAAvArRV
DOMi & JD BECK,THANK U,THANK U,2022-04-22,5n51TQaO80RWJkN15Bi5Zt
Bo Burnham,Look Who’s Inside Again,INSIDE,2021-06-10,0lZZ8pibk6Zu3M9hTthk1a
Parcels,SHADOW,Day/Night,2021-11-05,3tIkgwEuDBY2xfYsaWZfo9
Tears For Fears,Head Over Heels / Broken,Songs From The Big Chair,1985-02-25,0aF9m87P8Tja3NUMv4DfHt
sakanaction,Tsuki no Wan,Adapt,2022-03-30,29QmgPpVOUTZq8sQbobcku
Bo Burnham,Comedy,INSIDE,2021-06-10,50MhgV5PrQmCSuEELaYp9R
Parcels,"IknowhowIfeel - from Hansa Studios, Berlin",Live Vol. 1,2020-04-29,4M3MUIXtQLN2qRPcwcpHzW
Bill Wurtz,Fly Around,Fly Around,2022-03-09,5x6BxAR1oLQWwUywRZhrbk
Ginger Root,A Cruel Angel's Thesis (Neon Genesis Evangelion Theme Rework),A Cruel Angel's Thesis (Neon Genesis Evangelion Theme Rework),2021-02-16,0frqCgCODyMlt7KEWrS2T2
Doja Cat,Kiss Me More (feat. SZA),Planet Her,2021-06-25,3DarAbFujv6eYNliUTyqtz
Parcels,"Elude - from Hansa Studios, Berlin",Live Vol. 1,2020-04-29,04YsaTosW9B6i4yaTp766U
EMEFE,Sun Spat,EMEFE,2015-05-05,2gHIteqKkUDd4ZVet0UiAK
Ginger Root,Over the Hill,Nisemono,2022-09-09,4W6pqK42jJwOi9KAY1p6DH
Tears For Fears,Broken,Songs From The Big Chair,1985-02-25,0WTHb1o71zwLCLwX4R0IGz
Parcels,Inside,Day/Night,2021-11-05,3TsZbQfgWNERW39f2Wz5Wn
Bruno Mars,777,An Evening With Silk Sonic,2021-11-12,2K6vUau7bnZUamjbRSOOvJ
The Fearless Flyers,Assassin,Tailwinds,2020-07-24,6VO9i1n879SKNqjZkzaPvB
The Wiggles,Wheels on the Bus,The Wiggles Nursery Rhymes,2017-02-17,6aNSVZ67jaKhFkStXmKQzO
Parcels,Icallthishome,Day/Night,2021-11-05,2SteMjckIBYamiiHEtEt11
Snarky Puppy,Tio Macaco,We Like It Here,2014-02-25,08n36bdelgkTr2Xkg1O6pX
Vulfpeck,Darwin Derby,Hill Climber,2018-12-07,1FwFVKRNX1IV4eEZSGGg5M
sakanaction,Caravan,Adapt,2022-03-30,3UwyGpBY73UWcJclbGPBpD
Parcels,"Withorwithout - from Hansa Studios, Berlin",Live Vol. 1,2020-04-29,6GGXja13qA0BYNNAqgXQxS
Bruno Mars,Love's Train,Love's Train,2022-02-14,60gTdTwaNtGAzIxKfeGVfJ
Queens of the Stone Age,I Sat by the Ocean,...Like Clockwork,2013-06-03,1D3YGmST01Ba0WRiT7THPG
Ginger Root,Nisemono,Nisemono,2022-09-09,2pKk2VK9uSKfAq9rtDPJef
Parcels,"Closetowhy - from Hansa Studios, Berlin",Live Vol. 1,2020-04-29,4Y668YELGKHZ36nfTE3eBu
Bo Burnham,30,INSIDE,2021-06-10,7q2vosjX9aP8XxKFs7nakK
Vulfmon,How Much Do You Love Me?,Here We Go Jack,2022-08-05,1IUSye7pjU0k6BJQBkGM0K
Bruno Mars,Skate,An Evening With Silk Sonic,2021-11-12,3WTWh2WDk4j8GUCGj4xfOd
Parcels,"Tieduprightnow - from Hansa Studios, Berlin",Live Vol. 1,2020-04-29,4cyygA6kLAF2H6QqwmACHd
Bo Burnham,Don't Wanna Know,INSIDE,2021-06-10,4MsBOGhjM996rL6sf0i0n7
Mark Lettieri,Everybody Wants To Rule the World,Spark and Echo,2016-05-20,4xyLFKLN22Jaw4Cly8ft39
Louis Cole,Let it Happen,I’m Tight,2022-08-23,15uHgLVA8kbN0GZquTQZwG
Parcels,"Everyroad - from Hansa Studios, Berlin",Live Vol. 1,2020-04-29,2s7nxagCl9fnFUoNIQxjnp
